libliftoff 0.5.0-1.1
liblqr 0.4.3-1.1
liblrdf 0.6.1-5.1
liblsan 15.2.1+r604+g0b99615a8aef-2
libltc 1.3.2-2.1
libluv 1.52.1-1
libmakepkg-dropins 20-1
libmalcontent 0.14.0-3
libmanette 0.2.13-2.1
libmaxminddb 1.13.3-1.1
libmbim 1.34.0-1.1
libmd 1.1.0-2.1
libmediaart 1.9.7-2.1
libmicrodns 0.2.0-2.1
libmm-glib 1.24.2-1.1
libmnl 1.0.5-2.1
libmodplug 0.8.9.0-7.1
libmpc 1.4.0-1.1
libmpcdec 1:0.1+r475-6
libmpeg2 0.5.1-11.1
libmtp 1.1.23-1.1
libmysofa 1.3.3-1.1
libnautilus-extension 50.0-1.1
libndp 1.9-1.2
libnet 2:1.3-1.2
libnetfilter_conntrack 1.0.9-2.1
libnewt 0.52.25-2.1
libnfnetlink 1.0.2-2.1
libnfs 6.0.2-5.2
libnftnl 1.3.1-1.1
libnghttp2 1.68.1-1.1
libnghttp3 1.15.0-1.1
libngtcp2 1.22.0-1.1
libnice 0.1.23-1.1
libnl 3.12.0-1.1
libnm 1.56.0-1
libnma 1.10.6-3.1
libnma-common 1.10.6-3.1
libnma-gtk4 1.10.6-3.1
libnotify 0.8.8-1.1
libnsl 2.0.1-1.1
libnvme 1.16.1-3.1
liboauth 1:1.0.3+r16+gc26f038-2.1
libobjc 15.2.1+r604+g0b99615a8aef-2
libogg 1.3.6-1.1
libopenmpt 0.8.6-1.1
libopenraw 0.3.7-2.1
libosinfo 1.12.0-3.1
libp11-kit 0.26.2-1.1
libpaper 2.2.7-1.1
libpcap 1.10.6-1.1
libpciaccess 0.19-1.1
libpeas 1.38.1-1.1
libpgm 5.3.128-4.1
libpipeline 1.5.8-1.1
libpipewire 1:1.6.2-1.1
libplacebo 7.360.1-1.1
libplist 2.7.0-3.1
libpng 1.6.57-1.1
libportal 0.9.1-3.1
libportal-gtk4 0.9.1-3.1
libproxy 0.5.12-1.1
libpsl 0.21.5-2.1
libpulse 17.0+r98+gb096704c0-1.1
libpwquality 1.4.5-7.1
libqalculate 5.10.0-1.1
libqmi 1.38.0-1.1
libqrtr-glib 1.4.0-1.1
libquadmath 15.2.1+r604+g0b99615a8aef-2
libraqm 0.10.4-1.1
libraw1394 2.1.2-4.1
librest 0.10.2-1.1
librsvg 2:2.62.1-1.1
libsamplerate 0.2.2-3.1
libsasl 2.1.28-5.1
libseccomp 2.6.0-1.1
